"Input";"Coordinates"
"Singapore Bishan Community Library";"1.3498913,103.84898550000003"
"Singapore Thomson, Singapore";"1.326838,103.842759"
"Singapore Thai Express";"1.3113488,103.79514889999996"
"Singapore WATAMI Japanese Restaurant at Junction 8";"1.3504546,103.84870849999993"
"Singapore Bishan J8";"1.3505524,103.84883530000002"
"Singapore Nandos Peri Peri Chicken at Bishan";"1.3506197,103.84866160000001"
"Singapore Sakae Sushi@Junction 8";"1.3506748,103.84861799999999"
"Singapore Kazokutei";"1.2995228,103.84562010000002"
"Singapore Dian Xiao Er";"1.2913297,103.85846949999996"
"Singapore Food Junction @ Junction 8";"1.3505294,103.84843679999994"
"Singapore Ajisen Ramen Bishan Junction 8";"1.3505253,103.84869149999997"
"Singapore Seoul Yummy at Junction 8";"1.360442,103.85223199999996"
"Singapore One Pemimpin";"1.3521122,103.84329209999999"
"Singapore Bishan Swimming Complex";"1.3542472,103.85019110000007"
"Singapore Catholic High School";"1.3546049,103.84512340000003"
"Singapore SMRT Sports &amp";"1.3548963,103.85003159999997"
" Recreation Club";"52.4029423,-1.56862000000001"
"Singapore Bishan Juction8";"1.3505524,103.84883530000002"
"Singapore Pizza Hut";"1.3775015,103.95499240000004"
"Singapore Crystal Jade Kitchen";"1.3006139,103.84510449999993"
"Singapore McDonalds Bishan Junction 8";"1.3505524,103.84860470000001"
"Singapore Kazokutei @ Bishan Junction 8";"1.3504546,103.84870849999993"
"Singapore The Coffee Bean &amp";"1.275896,103.84591699999999"
" Tea Leaf @ Junction 8, Bishan";"1.3505365,103.84825860000001"
"Singapore Sungei Gedong Camp";"1.4187312,103.69892219999997"
"Singapore Sungei Gedong Armour Camp";"1.4187312,103.69892219999997"
"Singapore 42 SAR";"1.307064,103.833485"
"Singapore Sungei Gedong 42SAR";"1.4187312,103.69892219999997"
"Singapore 48 SAR";"1.307064,103.833485"
"Singapore Sungei Gedong Outfield";"1.4187312,103.69892219999997"
" ERROR! Input:Singapore Armour Battle Group Training Centre"
" ERROR! Input:Singapore Armour Training Institute"
"Singapore Saf Armour Centre";"1.4187312,103.69892219999997"
"Singapore Thong Hoe Village, Singapore";"1.3483893,103.74353410000003"
" ERROR! Input:Singapore Armoured Battle Group Training Centre"
"Singapore Sungei Gedong";"1.4187312,103.69892219999997"
"Singapore Sungei Gedong Armor Camp";"1.4187312,103.69892219999997"
" ERROR! Input:Singapore Resort World Sungei Gedong"
"Singapore School Of Armour - Officer Training Wing";"1.332772,103.68390199999999"
"Singapore Lim Chu Kang Cemetery";"1.3815149,103.69576729999994"
"Singapore NTU";"1.3483099,103.68313469999998"
"Singapore Sungei Gedung Camp";"1.4187312,103.69892219999997"
"Singapore Pusara Aman Lot N-1-20 Plot 2354";"1.3728498,103.69434100000001"
"Singapore Armour Camp";"1.4187312,103.69892219999997"
"Singapore Thong Hoe, Singapore";"1.3483893,103.74353410000003"
"Singapore Sungei Gedong Medical Centre";"1.4187312,103.69892219999997"
"Singapore Sarimbun Reservior";"1.4254151,103.68330979999996"
" ERROR! Input:Singapore 48th Battalion, Singapore Armoured Regiment"
"Singapore Club Gedong";"31.23751,121.49392"
" ERROR! Input:Singapore Pulau Gedong"
"Singapore Lim Chu Kang Chalet";"1.4197843,103.71883290000005"
"Singapore Sungei Gedong Camp Medical Center";"1.4187312,103.69892219999997"
"Singapore Gedong Camp";"1.4187312,103.69892219999997"
"Singapore Sungei Gedong Resort";"1.4187312,103.69892219999997"
