"Input";"Coordinates"
"Singapore SAFTI Military Institute";"1.3333259,103.68113840000001"
"Singapore Pasir Laba Camp";"1.3309414,103.67379069999993"
"Singapore Leaders Square, Pasir Laba Camp";"1.3309414,103.67379069999993"
"Singapore Spore Discovery Centre";"1.3326904,103.67894320000005"
"Singapore Wee Kim Wee School of Communication and Information";"1.3422585,103.67977459999997"
"Singapore Arena Country Club";"1.329444,103.68286"
"Singapore NTU School of Biological Sciences";"1.3448277,103.67953510000007"
"Singapore NTU Hall 7";"1.3407596,103.68030469999997"
"Singapore Army Museum of Singapore";"1.3318007,103.67701290000002"
"Singapore Singapore Discovery Centre";"1.3326904,103.67894320000005"
"Singapore School of Physical and Mathematical Sciences";"1.3419649,103.68204319999995"
"Singapore NTUC Warehouse Club";"1.3275103,103.67860610000002"
"Singapore SAFTI Military Institute";"1.3333259,103.68113840000001"
"Singapore Tung Lok Seafood";"1.300716,103.83999599999993"
"Singapore Specialist Cadet School, Singapore";"1.332772,103.68390199999999"
"Singapore Joo Koon MRT Station";"1.3277507,103.67832969999995"
"Singapore Officer Cadet School";"1.332772,103.68390199999999"
"Singapore WKWSCI - CI Club";"1.3422585,103.67977459999997"
"Singapore Kartright Speedway";"1.329473,103.681604"
"Singapore Safti Mi Parade Square";"1.3333259,103.68113840000001"
"Singapore Specialist Cadet School @ Pasir Laba Camp";"1.3309414,103.67379069999993"
"Singapore Aardwolf Pestkare Headquarters";"1.3274532,103.6898526"
"Singapore NTUC Fairprice Hub";"1.327351,103.67883600000005"
"Singapore Nanyang Technological University Auditorium";"1.34415,103.68007920000002"
"Singapore NTUC Learning Hub (Benoi)";"1.3264119,103.68024059999993"
"Singapore SAFTI MI Officer Cadets Mess";"1.3333259,103.68113840000001"
"Singapore Kartright Speedway";"1.329473,103.681604"
"Singapore Crossfire Paintball @ Singapore Discovery Centre";"1.3326904,103.67894320000005"
"Singapore Haru Japanese Foods at SAFTI MI";"1.3333259,103.68113840000001"
"Singapore Fairprice Hub";"1.3271151,103.67849849999993"
"Singapore Jurong Camp 1";"1.3341076,103.69061139999997"
"Singapore NTU SPMS";"1.3418536,103.68192139999996"
"Singapore Benoi Road";"1.3154802,103.67872970000008"
"Singapore Joo koon circle";"1.3274348,103.67215179999994"
"Singapore School of Electrical &amp";"1.343226,103.68089179999993"
" Electronics Engineering";"41.838589,-88.02244180000002"
"Singapore ExxonMobil Refinery @18 Pioneer Road";"1.2649775,103.81919770000002"
"Singapore Nanyang Research Techno Plaza";"1.3432979,103.67942489999996"
"Singapore ??? Crab Corner";"1.3273513,103.67883610000001"
"Singapore Joo Koon Bus Interchange";"1.3256481,103.6784801"
"Singapore Benoi Sector";"1.3195666,103.68586260000006"
"Singapore Gul Circle";"1.319846,103.66942189999997"
"Singapore Experimental Medicine Building";"1.3450858,103.67836239999997"
"Singapore Joo Koon Mall";"1.3275103,103.67860610000002"
"Singapore Unilite Chemicals Pte. Ltd.";"1.324412,103.674305"
"Singapore Nanyang Technopreneurship Center";"1.3483099,103.68313469999998"
"Singapore Army Museum @ Singapore Discovery Center";"1.3326904,103.67894320000005"
"Singapore NTU Innovation Centre";"1.3422833,103.6832306"
"Singapore Joo Koon, Singapore";"1.3277507,103.67832969999995"
"Singapore Palawan Beach, Sentosa Singapore";"1.2482777,103.82253739999999"
"Singapore The Sixth Avenue Residences";"1.329502,103.79485999999997"
"Singapore The Teneriffe";"1.3266456,103.79048379999995"
"Singapore Garlick Ave";"1.3284565,103.79093660000001"
"Singapore Fong Yun Thai Association";"1.3279887,103.78958360000001"
"Singapore The Right Salon";"1.3308964,103.79507620000004"
"Singapore ????? @ 33 Holland Link (off Old Holland Road)";"1.3300585,103.78829919999998"
"Singapore Holland Plain";"1.3267229,103.78706469999997"
"Singapore 861 old holland rd,Illoura";"1.331833,103.79021499999999"
"Singapore Sixth Avenue Residence";"1.3310486,103.79668190000007"
" ERROR! Input:Singapore YG Family 2014 Galaxy Tour: Power"
"Singapore Lantana Ave";"1.3282999,103.79308979999996"
"Singapore 1 Oak Avenue";"1.330372,103.79169100000001"
"Singapore Palms at sixth Avenue";"1.3244912,103.79260180000006"
"Singapore Marina Bay,Singapore";"1.2877935,103.86655489999998"
"Singapore Casa W";"1.2806264,103.84548180000002"
"Singapore National Stadium Singapore";"1.3043297,103.87433750000002"
"Singapore Garlick Avenue";"1.3284565,103.79093660000001"
"Singapore Laurel Wood Avenue";"1.3262176,103.79074839999998"
"Singapore Sixth Crescent";"1.3255644,103.79244730000005"
" ERROR! Input:Singapore NUS Bukit Timah Outdoor Court 1 &amp"
" 2";"34.2723275,-118.02552129999998"
"Singapore W39 Bistro &amp";"1.3084697,103.76240389999998"
" Bakery";"8.499583399999999,76.95638450000001"
"Singapore Alexandra Village";"1.2862284,103.80445199999997"
"Singapore City Plaza Paya Lebar.....";"1.3147534,103.89341390000004"
