BERSEH FOOD CENTRE,01-27,7.29,COOKED FOOD,$538.00,May-2013
,,,,,
BERSEH FOOD CENTRE,01-27,7.29,COOKED FOOD,$820.00,Jan-2014
,,,,,
BERSEH FOOD CENTRE,01-27,7.29,COOKED FOOD,$650.00,Jul-2014
,,,,,
BERSEH FOOD CENTRE,01-27,7.29,DRINKS,$620.00,May-2016
,,,,,
BERSEH FOOD CENTRE,02-11,7.29,COOKED FOOD,$700.00,Dec-2014
,,,,,
BERSEH FOOD CENTRE,02-27,7.29,COOKED FOOD,$811.00,Nov-2015
,,,,,
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,$999.00,Jan-2013
,,,,,
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,$580.00,Apr-2012
,,,,,
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,"$1,000.00",Oct-2013
,,,,,
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,"$1,800.00",Jan-2014
,,,,,
BERSEH FOOD CENTRE,02-33,10.08,DRINKS,"$1,199.00",Jul-2015
,,,,,
BERSEH FOOD CENTRE,02-33,10.08,COOKED FOOD,$400.00,Nov-2015
,,,,,
BERSEH FOOD CENTRE,02-34,7.29,COOKED FOOD,$800.00,Dec-2012
,,,,,
BERSEH FOOD CENTRE,02-34,7.29,COOKED FOOD,$800.00,Mar-2015
,,,,,
BERSEH FOOD CENTRE,02-34,7.29,COOKED FOOD,$910.00,Aug-2015
,,,,,
BERSEH FOOD CENTRE,02-36,7.29,COOKED FOOD,"$1,108.00",Oct-2016
,,,,,
BERSEH FOOD CENTRE,02-48,7.29,COOKED FOOD,"$1,506.00",Jul-2015
,,,,,
BERSEH FOOD CENTRE,02-52,7.29,COOKED FOOD,$350.00,Apr-2012
,,,,,
BERSEH FOOD CENTRE,02-52,7.29,COOKED FOOD,$800.00,Dec-2012
,,,,,
BERSEH FOOD CENTRE,02-52,7.29,COOKED FOOD,$500.00,Apr-2013
,,,,,
BERSEH FOOD CENTRE,02-52,7.29,COOKED FOOD,$520.00,Sep-2014
,,,,,
BERSEH FOOD CENTRE,02-53,7.29,COOKED FOOD,$628.00,Aug-2013
,,,,,
BERSEH FOOD CENTRE,02-54,7.29,COOKED FOOD,$811.00,Mar-2013
,,,,,
BERSEH FOOD CENTRE,02-54,7.29,COOKED FOOD,$818.00,May-2012
,,,,,
BERSEH FOOD CENTRE,02-54,7.29,DRINKS,$100.00,Dec-2015
,,,,,
BERSEH FOOD CENTRE,02-54,7.29,COOKED FOOD,$836.00,May-2016
,,,,,
BERSEH FOOD CENTRE,02-55,7.29,COOKED FOOD,$846.19,May-2015
,,,,,
BERSEH FOOD CENTRE,02-61,7.29,COOKED FOOD,$888.00,Dec-2012
,,,,,
BERSEH FOOD CENTRE,02-61,7.29,COOKED FOOD,$601.00,Jun-2014
,,,,,
BERSEH FOOD CENTRE,02-61,7.29,COOKED FOOD,"$1,133.00",Sep-2014
,,,,,
BERSEH FOOD CENTRE,02-61,7.29,DRINKS,"$1,200.00",Nov-2013
,,,,,
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,"$1,300.00",Feb-2014
,,,,,
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,"$1,300.00",May-2015
,,,,,
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,"$1,580.00",Sep-2015
,,,,,
BERSEH FOOD CENTRE,02-62,7.29,CUT FRUITS,$300.00,Mar-2013
,,,,,
BERSEH FOOD CENTRE,02-62,7.29,DRINKS,$786.00,Nov-2014
,,,,,
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,$801.00,Apr-2016
,,,,,
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,"$1,308.00",Oct-2016
,,,,,
BERSEH FOOD CENTRE,02-62,7.29,COOKED FOOD,"$1,518.00",Jan-2017
,,,,,
BERSEH FOOD CENTRE,02-94,7.29,COOKED FOOD,"$1,200.00",Aug-2013
,,,,,
BLK 665 BUFFALO ROAD,01-299,6.15,COOKED FOOD,"$1,128.00",Oct-2014
,,,,,
BLK 1 JALAN KUKOH,01-06,7.85,INDIAN CUISINE,$600.00,Nov-2016
,,,,,
BLK 1 JALAN KUKOH,01-07,7.85,HALAL COOKED FOOD,$301.00,Aug-2013
,,,,,
BLK 1 JALAN KUKOH,01-16,7.85,INDIAN CUISINE,$80.00,Apr-2016
,,,,,
BLK 11 TELOK BLANGAH CRESCENT,01-105,9.30,HALAL COOKED FOOD,"$1,000.00",Feb-2016
,,,,,
BLK 11 TELOK BLANGAH CRESCENT,01-105,9.30,HALAL COOKED FOOD,"$1,251.00",May-2016
,,,,,
